date,place,ageGroup,value
2020-03-11,Berlin,0-4,4
2020-03-11,Berlin,5-9,1
2020-03-11,Berlin,10-14,1
2020-03-11,Berlin,15-19,2
2020-03-11,Berlin,20-24,8
2020-03-11,Berlin,25-29,20
2020-03-11,Berlin,30-39,39
2020-03-11,Berlin,40-49,23
2020-03-11,Berlin,50-59,12
2020-03-11,Berlin,60-69,7
2020-03-11,Berlin,70-79,1
2020-03-11,Berlin,80+,0
2020-03-11,Berlin,unk,0
2020-03-18,Berlin,0-4,9
2020-03-18,Berlin,5-9,5
2020-03-18,Berlin,10-14,7
2020-03-18,Berlin,15-19,12
2020-03-18,Berlin,20-24,29
2020-03-18,Berlin,25-29,70
2020-03-18,Berlin,30-39,151
2020-03-18,Berlin,40-49,96
2020-03-18,Berlin,50-59,90
2020-03-18,Berlin,60-69,29
2020-03-18,Berlin,70-79,14
2020-03-18,Berlin,80+,5
2020-03-18,Berlin,unk,0
2020-03-25,Berlin,0-4,13
2020-03-25,Berlin,5-9,11
2020-03-25,Berlin,10-14,44
2020-03-25,Berlin,15-19,36
2020-03-25,Berlin,20-24,106
2020-03-25,Berlin,25-29,210
2020-03-25,Berlin,30-39,460
2020-03-25,Berlin,40-49,269
2020-03-25,Berlin,50-59,293
2020-03-25,Berlin,60-69,105
2020-03-25,Berlin,70-79,61
2020-03-25,Berlin,80+,26
2020-03-25,Berlin,unk,9
2020-03-28,Berlin,0-4,22
2020-03-28,Berlin,5-9,15
2020-03-28,Berlin,10-14,50
2020-03-28,Berlin,15-19,48
2020-03-28,Berlin,20-24,173
2020-03-28,Berlin,25-29,294
2020-03-28,Berlin,30-39,602
2020-03-28,Berlin,40-49,376
2020-03-28,Berlin,50-59,414
2020-03-28,Berlin,60-69,175
2020-03-28,Berlin,70-79,201
2020-03-28,Berlin,80+,52
2020-03-28,Berlin,unk,15
2020-03-30,Berlin,0-4,29
2020-03-30,Berlin,5-9,18
2020-03-30,Berlin,10-14,52
2020-03-30,Berlin,15-19,59
2020-03-30,Berlin,20-24,188
2020-03-30,Berlin,25-29,320
2020-03-30,Berlin,30-39,660
2020-03-30,Berlin,40-49,414
2020-03-30,Berlin,50-59,455
2020-03-30,Berlin,60-69,193
2020-03-30,Berlin,70-79,115
2020-03-30,Berlin,80+,65
2020-03-30,Berlin,unk,13
2020-04-02,Berlin,0-4,40
2020-04-02,Berlin,5-9,25
2020-04-02,Berlin,10-14,61
2020-04-02,Berlin,15-19,78
2020-04-02,Berlin,20-24,234
2020-04-02,Berlin,25-29,383
2020-04-02,Berlin,30-39,780
2020-04-02,Berlin,40-49,517
2020-04-02,Berlin,50-59,563
2020-04-02,Berlin,60-69,268
2020-04-02,Berlin,70-79,161
2020-04-02,Berlin,80+,97
2020-04-02,Berlin,unk,16